FIPS,CTYNAME,abbrv,state,county,ID,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25005,Bristol County,MA,MA,Bristol,267,0.426,0.519,246068,104775,127619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44001,Bristol County,RI,RI,Bristol,268,0.36,0.588,24725,8910,14532,0.397,0.587,11557,4589,6779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30007,Broadwater County,MT,MT,Broadwater,270,0.751,0.182,3102,2329,566,0.774,0.205,4056,3139,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36005,Bronx County,NY,NY,Bronx,271,0.096,0.887,358857,34424,318403,0.169,0.825,329638,55849,271835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54009,Brooke County,WV,WV,Brooke,272,0.689,0.267,9540,6574,2549,0.708,0.277,10656,7545,2947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46011,Brookings County,SD,SD,Brookings,273,0.532,0.385,12680,6748,4879,0.549,0.419,14567,8000,6110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13027,Brooks County,GA,GA,Brooks,274,0.587,0.399,6268,3679,2504,0.6,0.393,7100,4260,2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48047,Brooks County,TX,TX,Brooks,275,0.236,0.746,2596,613,1937,0.402,0.592,2484,998,1470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36007,Broome County,NY,NY,Broome,276,0.49,0.453,77657,38077,35212,0.53,0.446,72376,38351,32275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8014,Broomfield County,CO,CO,Broomfield,277,0.382,0.523,37342,14272,19530,0.35,0.624,46297,16188,28871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
